Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/10/2025 16:00,"Etihad Arena, Abu Dhabi",New York Knicks,Philadelphia 76ers,99 - 84
2,1,04/10/2025 02:00,"Acrisure Arena, Palm Desert",Los Angeles Lakers,Phoenix Suns,81 - 103
3,1,03/10/2025 09:30,"Rod Laver Arena, Melbourne",New Orleans Pelicans,Melbourne United,107 - 97
4,1,04/10/2025 15:00,"Etihad Arena, Abu Dhabi",Philadelphia 76ers,New York Knicks,104 - 113
5,1,05/10/2025 03:00,"Rod Laver Arena, Melbourne",New Orleans Pelicans,South East Melbourne Phoenix,127 - 92
6,1,05/10/2025 00:00,"Barclays Center, Brooklyn",Brooklyn Nets,Hapoel Jerusalem B.C.,123 - 88
7,1,05/10/2025 00:00,"Coliseo de Puerto Rico, San Juan,Puerto Rico",Miami Heat,Orlando Magic,118 - 126
8,1,05/10/2025 01:00,"Pechanga Arena, San Diego",Denver Nuggets,Minnesota Timberwolves,116 - 126
9,1,05/10/2025 21:00,"North Charleston Coliseum, Charleston",Charlotte Hornets,Oklahoma City Thunder,114 - 135
10,1,06/10/2025 00:30,"Chase Center, San Francisco",Golden State Warriors,Los Angeles Lakers,111 - 103
11,1,06/10/2025 23:30,"Kaseya Center, Miami",Miami Heat,Milwaukee Bucks,93 - 103
12,1,07/10/2025 00:00,"Toyota Center, Houston",Houston Rockets,Atlanta Hawks,122 - 113
13,1,07/10/2025 00:00,"FedExForum, Memphis",Memphis Grizzlies,Detroit Pistons,112 - 128
14,1,07/10/2025 00:00,"Frost Bank Center, San Antonio",San Antonio Spurs,Guangzhou Loong-Lions,119 - 88
15,1,07/10/2025 00:30,"Dickies Arena, Fort Worth",Dallas Mavericks,Oklahoma City Thunder,106 - 89
16,1,07/10/2025 02:00,"Rogers Arena, Vancouver",Toronto Raptors,Denver Nuggets,108 - 112
17,1,07/10/2025 23:00,"Rocket Arena, Cleveland",Cleveland Cavaliers,Chicago Bulls,117 - 118
18,1,08/10/2025 00:00,"Target Center, Minneapolis",Minnesota Timberwolves,Indiana Pacers,134 - 135
19,1,08/10/2025 23:30,"Kaseya Center, Miami",Miami Heat,San Antonio Spurs,107 - 112
20,1,09/10/2025 02:00,"Chase Center, San Francisco",Golden State Warriors,Portland Trail Blazers,129 - 123
21,1,09/10/2025 02:00,"Golden 1 Center, Sacramento",Sacramento Kings,Toronto Raptors,122 - 130
22,1,09/10/2025 00:00,"Toyota Center, Houston",Houston Rockets,Utah Jazz,140 - 127
23,1,09/10/2025 00:00,"FedExForum, Memphis",Memphis Grizzlies,Boston Celtics,103 - 121
24,1,09/10/2025 23:30,"Madison Square Garden, New York",New York Knicks,Minnesota Timberwolves,100 - 95
25,1,10/10/2025 00:00,"United Center, Chicago",Chicago Bulls,Cleveland Cavaliers,119 - 112
26,1,10/10/2025 00:00,"Fiserv Forum, Milwaukee",Milwaukee Bucks,Detroit Pistons,117 - 111
27,1,10/10/2025 00:00,"Paycom Center, Oklahoma City",Oklahoma City Thunder,Charlotte Hornets,122 - 116
28,1,10/10/2025 02:30,"Frontwave Arena, Oceanside",LA Clippers,Guangzhou Loong-Lions,142 - 95
29,1,10/10/2025 12:00,"Venetian Arena, Macao, China",Brooklyn Nets,Phoenix Suns,127 - 132
30,1,11/10/2025 02:00,"Moda Center, Portland",Portland Trail Blazers,Sacramento Kings,124 - 123
31,1,10/10/2025 23:00,"Scotiabank Arena, Toronto",Toronto Raptors,Boston Celtics,107 - 105
32,1,11/10/2025 00:00,"Frost Bank Center, San Antonio",San Antonio Spurs,Utah Jazz,134 - 130
33,1,10/10/2025 23:00,"Xfinity Mobile Arena, Philadelphia",Philadelphia 76ers,Orlando Magic,98 - 128
34,1,12/10/2025 00:00,"FedExForum, Memphis",Memphis Grizzlies,Atlanta Hawks,116 - 122
